"7203 トヨタ自動車"

業績
年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
2022/03,31379507000000,2995697000000,-,2850110000000,205.23,10.86,4.21
2023/03,37154298000000,2725025000000,-,2451318000000,179.47,8.65,3.3
2024/03,45095325000000,5352934000000,-,4944933000000,365.94,14.45,5.49
2025/03,48036704000000,4795586000000,-,4765086000000,359.56,13.26,5.09
2026/03,-,-,-,-,226.02,9.16,3.49,（予想）

財務
年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
2021/03,62267140000000,24288329000000,23404547000000,24104176000000,-,-,1674.18,37.6
2022/03,67688771000000,27154820000000,26245969000000,26453126000000,-,-,1904.88,38.8
2023/03,74303180000000,29264213000000,28338706000000,28343296000000,-,-,2089.08,38.1
2024/03,90114296000000,35239338000000,34220991000000,32795365000000,-,-,2539.75,38
2025/03,93601350000000,36878913000000,35924826000000,35841218000000,-,-,2753.09,38.4

CF
年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
2021/03,2727162000000,-4684175000000,2739174000000,-1293262000000,5100857000000,10.02
2022/03,3722615000000,-577496000000,-2466516000000,-1343075000000,6113655000000,11.86
2023/03,2955076000000,-1598890000000,-56180000000,-1605878000000,7516966000000,7.95
2024/03,4206373000000,-4998751000000,2497558000000,-2010874000000,9412060000000,9.33
2025/03,3696934000000,-4189736000000,197236000000,-2134890000000,8982404000000,7.7

配当
年度,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率
2022/03,148,-,404718000000,-,39.5,-
2023/03,60,-,431099000000,-,51,-
2024/03,75,-,231069000000,-,25.1,-
2025/03,90,-,1179043000000,-,49.7,-
2026/03,95,-,-,-,-,-,（予想）
