財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2025/03,182125000000,68355000000,57902000000,47725000000,28770000000,35604000000,5600.12,36.5
130A,2025/12,1884912000,1783876000,1783876000,-629065000,-,-,274.99,94.6
1332,2025/03,634878000000,285939000000,223806000000,171996000000,114104000000,95832000000,891.31,43.6
1333,2025/03,681211000000,275396000000,197090000000,141324000000,133069000000,99842000000,1519.23,33.7
135A,2026/02,-,-,-,-,-,-,203.39,-
1375,2025/03,37868000000,12525000000,12366000000,18334000000,-,15435000000,309.89,32.7
1376,2025/05,49320424000,25013918000,23713139000,21367459000,-,-,2244.86,50.7
1377,2025/05,190986000000,161768000000,143534000000,126607000000,2281000000,587000000,3729.64,84.5
1379,2025/03,107620000000,56808000000,54420000000,47044000000,7097000000,12672000000,1817.33,52.8
137A,2025/05,1057970000,889690000,887055000,428063000,-,-,298.57,83.9
1380,2025/03,7126124000,2186880000,2123196000,861486000,1564124000,1713918000,523.35,30.6
1381,2025/06,25075000000,21601000000,21398000000,20519000000,-,-,3846.35,86.1
1382,2025/06,1069690000,756207000,756207000,224626000,-,-,992.85,70.7
1383,2025/10,6058767000,2174388000,2102447000,795082000,650000000,1406721000,1322.13,34.9
1384,2025/03,19216000000,14153000000,13966000000,12157000000,-,1134000000,1673.03,73.7
138A,2025/11,2652516000,1310100000,1310100000,506996000,-,624052000,1320.67,49.4
1401,2025/05,4878389000,3696628000,3681456000,3274610000,-,-,518.32,75.8
1407,2025/08,148546000000,36537000000,35890000000,39130000000,23963000000,70108000000,913.36,24.4
1414,2025/06,129155000000,106392000000,102712000000,80472000000,-,-,514.51,81.4
1417,2025/03,537739000000,269877000000,245748000000,201526000000,42596000000,40495000000,2914.94,48.6
1418,2026/02,-,-,-,-,-,-,306.55,-
1419,2025/05,92302000000,34275000000,34368000000,27229000000,7530000000,7917000000,1181.38,37.1
141A,2025/06,300283000000,129028000000,125194000000,81875000000,26500000000,9031000000,1031.28,42
1420,2025/03,50553241000,15321096000,15350070000,6770994000,3690000000,9913000000,1367.23,30.3
1429,2025/12,25810383000,11633907000,11633185000,9168917000,4800000000,-,361.18,45.1
142A,2025/03,2090700000,389870000,389870000,-246634000,102494000,327283000,134.32,18.6
1430,2025/05,24889765000,9760903000,9757593000,9329428000,270000000,3192780000,816.73,39.2
1431,2025/06,11523490000,4714566000,4714566000,2614029000,2033755000,1286033000,202.78,40.9
1433,2026/01,8333903000,5397535000,5249639000,2384000000,-,118056000,609.14,64.8
1434,2025/08,17647633000,7561332000,7429357000,5138012000,1324582000,3802718000,1077.64,42.4
1435,2025/12,15925254000,11167035000,11108533000,3938065000,341600000,525309000,124.2,70.1
1436,2025/04,13557474000,5302794000,5293129000,3498807000,1433400000,2968335000,1286.81,39
1438,2025/09,5776333000,4144481000,4045639000,3278956000,200000000,25272000,1277.24,71.7
1439,2024/12,-,-,-,-,-,-,1486.1,-
143A,2025/03,2177446000,1658230000,1170004000,849999000,-,-,626.59,55.2
1443,2025/03,16164939000,10916029000,10584448000,7991477000,-,2766632000,672.4,67.5
1444,2025/07,3457320000,1703731000,1709829000,1111051000,661000000,292934000,1564.92,49.3
1446,2025/09,6282008000,2961801000,2972385000,869970000,850000000,250000000,319.72,47.1
1447,2025/03,16998056000,2843379000,2684246000,23209000,4530000000,3865174000,108.38,15.6
1449,2025/12,654034000,368768000,368768000,282920000,-,123160000,173.13,56.4
1450,2025/03,11383251000,8223073000,8136797000,7591352000,-,-,945.32,72.2
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6
145A,2025/12,3425892000,1847968000,1847874000,-785529000,30000000,1065938000,360.57,53.9
146A,2025/12,66877000000,17439000000,17418000000,12110000000,9928000000,26456000000,2259.16,26.1
147A,2025/03,13403349000,10355020000,9878888000,855057000,-,687505000,222.78,75
148A,2025/12,2884716000,1027586000,1026761000,377890000,81982000,95670000,535.59,35.6
1491,2025/03,16525875000,8182188000,8182188000,2014850000,1500000000,1177532000,567.8,49.5
149A,2025/12,1279685000,1047466000,1047466000,-60657000,60000000,-,326.69,81.9
150A,2025/03,2982602000,2038513000,2038223000,-287957000,176000000,91315000,362.46,68.3
1514,2025/03,29047000000,28024000000,27273000000,25254000000,-,-,468.76,96.5
1515,2025/03,240179000000,151971000000,117376000000,115864000000,12615000000,9771000000,1798.34,58.9
1518,2025/03,117627000000,65481000000,62060000000,59875000000,28707000000,3056000000,1165.08,55.5
151A,2025/06,4439368000,2272297000,2272297000,1728779000,131668000,207304000,271.03,51.2
153A,2025/12,2182217000,1656542000,1661073000,949398000,-,-,253.76,75.9
155A,2025/12,4072525000,1739548000,1739601000,1240973000,-,893570000,169.9,42.7
156A,2025/08,3896486000,2212450000,2157072000,1903950000,115000000,48266000,223.94,55.4
157A,2025/06,1821541000,1430970000,1430790000,903445000,-,40786000,456.71,78.5
1605,2025/12,7735198000000,5022903000000,4747158000000,3345830000000,541482000000,703264000000,4073.44,61.4
160A,2025/03,21407641000,4162977000,4162977000,3015943000,1130068000,7262855000,1164.14,19.4
165A,2025/03,10739803000,7008197000,6614645000,6842821000,-,-,67.89,61.6
1662,2025/03,681598000000,557257000000,458791000000,445499000000,-,-,2062.21,77.4
1663,2025/12,127773000000,108888000000,101107000000,80252000000,331000000,546000000,3945.3,82.4
166A,2025/09,83248712000,33005553000,31849026000,8484592000,10477225000,30057653000,518.09,38.4
167A,2025/03,230502000000,131450000000,127690000000,40604000000,30714000000,3699000000,3280.08,57
168A,2026/01,-,-,-,-,-,-,902.94,-
1711,2025/03,4705055000,738173000,606333000,-3821697000,1809192000,1552664000,59.31,12.9
1712,2025/02,29031000000,18966000000,17209000000,12872000000,1330000000,4002000000,1042.62,60.2
1716,2025/06,22247636000,19358154000,18988944000,18359448000,-,156270000,1709.54,86.4
1717,2025/03,8027863000,5597405000,5575947000,4928037000,-,-,477.77,69.5
1718,2025/12,38882459000,19532122000,16875947000,15517436000,5520000000,2723109000,15761.3,44.3
1719,2025/03,371974000000,172183000000,158641000000,145412000000,20982000000,6916000000,1092.11,46
