CF

コード,年度,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン
1301,2025/03,5843000000,-9036000000,2149000000,-8124000000,7514000000,1.93
130A,2025/12,-299265000,451119000,-,-31242000,325213000,-328.36
1332,2025/03,40379000000,-30393000000,-11452000000,-34051000000,18686000000,4.56
1333,2025/03,39179000000,-1886000000,-29352000000,-22043000000,48422000000,3.63
135A,2026/02,-,-,-,-,-,-11.44
1375,2025/03,5519000000,-2252000000,-2159000000,-2062000000,3903000000,10.39
1376,2025/05,212910000,-1234925000,-629070000,-1211000000,1608082000,0.33
1377,2025/05,5100000000,4066000000,-6669000000,-8496000000,22445000000,5.49
1379,2025/03,12222000000,-9012000000,-1721000000,-1640000000,15069000000,14.71
137A,2025/05,221406000,-,15107000,0,878485000,17.01
1380,2025/03,725072000,-451110000,-4323000,-495000000,968035000,9.11
1381,2025/06,2915000000,-1719000000,-578000000,-1774000000,7733000000,11.03
1382,2025/06,16111000,-19533000,-41989000,-21198000,306105000,0.67
1383,2025/10,329887000,-573568000,196533000,-640019000,873211000,4.52
1384,2025/03,3216000000,-2258000000,-663000000,-2129000000,4194000000,16.58
138A,2025/11,290255000,23458000,40514000,-244752000,1388132000,10.14
1401,2025/05,567895000,-43987000,-233686000,-100754000,1827413000,12.05
1407,2025/08,3263000000,-5459000000,10064000000,-3651000000,35707000000,6.91
1414,2025/06,9473000000,464000000,-12697000000,-948000000,32523000000,10.44
1417,2025/03,18049000000,-9370000000,-6412000000,-10301000000,51350000000,3.12
1418,2026/02,-,-,-,-,-,13.64
1419,2025/05,2248000000,-1741000000,4390000000,-1736000000,31001000000,1.12
141A,2025/06,-4446000000,-35892000000,20770000000,-39475000000,72325000000,-0.55
1420,2025/03,-2371596000,-46468000,1210299000,-107000000,9232054000,-5.21
1429,2025/12,1510471000,-603119000,-755491000,-503809000,2415160000,4.49
142A,2025/03,-128391000,-72390000,240110000,-18233000,1593893000,-5.35
1430,2025/05,2094972000,-49980000,-762561000,-45013000,5400034000,4.85
1431,2025/06,1384878000,-496993000,-856881000,-409965000,3809392000,8.65
1433,2026/01,1644324000,1490152000,-3300510000,-8772000,1434387000,14.76
1434,2025/08,896261000,17231000,-210728000,-442000000,3012672000,4.7
1435,2025/12,1849156000,-663767000,-181750000,-1654526000,7505020000,7.68
1436,2025/04,-961122000,-663572000,1032649000,-149743000,911167000,-8.27
1438,2025/09,317228000,-3296000,-80150000,-33505000,2618800000,5.06
1439,2024/12,-,-,-,-,-,7.73
143A,2025/03,102216000,-89280000,63580000,-600000,1399156000,7.34
1443,2025/03,358360000,-286741000,-532526000,-32747000,1364173000,7.3
1444,2025/07,-59576000,570099000,32681000,-29264000,1878851000,-1.13
1446,2025/09,418644000,-92465000,-315636000,-52794000,1626858000,3.02
1447,2025/03,305192000,-1647104000,-405012000,-671386000,3044362000,1.06
1449,2025/12,-61812000,292123000,-165511000,-5074000,185781000,-6.25
1450,2025/03,2141625000,-78287000,-348442000,-38928000,3935515000,17.43
1451,2024/03,1245953000,-170202000,-1357964000,-150000000,4041064000,12.38
145A,2025/12,178234000,-1079531000,443670000,-27240000,1413785000,8.36
146A,2025/12,-4318000000,-1706000000,9637000000,-1639000000,7855000000,-11.64
147A,2025/03,-728673000,-474993000,2451930000,-324018000,8917773000,-8.1
148A,2025/12,295080000,-167470000,-80745000,-28759000,1391041000,10.69
1491,2025/03,840310000,-543300000,564235000,-88504000,4141237000,0.52
149A,2025/12,79336000,-63385000,-3501000,-48450000,984502000,5.42
150A,2025/03,137604000,-691273000,167650000,-793881000,810824000,3.47
1514,2025/03,26000000,-216000000,-3174000000,-209000000,15351000000,0.25
1515,2025/03,17713000000,-12259000000,-6477000000,-21272000000,37789000000,9
1518,2025/03,4574000000,-11917000000,-10206000000,-1475000000,8973000000,7.55
151A,2025/06,268439000,-210495000,-30446000,-289676000,2065504000,1.95
153A,2025/12,208971000,-373803000,-81199000,-68625000,1487072000,14.92
155A,2025/12,416644000,-1191448000,625809000,-15822000,1667756000,5.2
156A,2025/08,694251000,-58325000,-497267000,-51565000,1261264000,11.04
157A,2025/06,-6909000,-215376000,-82640000,-28515000,1185144000,-0.34
1605,2025/12,693893000000,-668734000000,-110730000000,-390000000000,168407000000,34.5
160A,2025/03,775634000,-4645942000,4457529000,-4607719000,3485113000,4.33
165A,2025/03,953194000,-391300000,-1626467000,-360000000,2504410000,8.34
1662,2025/03,130766000000,-107076000000,-38671000000,-78050000000,140931000000,33.61
1663,2025/12,15911000000,-13259000000,-1623000000,-7546000000,29857000000,17.42
166A,2025/09,-5770903000,-1718520000,19260213000,-1497897000,26201366000,-7.76
167A,2025/03,13180000000,-15258000000,-17615000000,-1501000000,29674000000,3.66
168A,2026/01,-,-,-,-,-,11.89
1711,2025/03,-214276000,-973331000,1004688000,-704402000,420014000,-5.31
