業績

コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2025/03,302681000000,11079000000,10857000000,6740000000,567.46,10.13,3.7
130A,2025/12,91140000,-396748000,-390628000,-425671000,-65.62,-,-
1332,2025/03,886126000000,31779000000,35301000000,25381000000,81.66,9.16,4
1333,2025/03,1078631000000,30381000000,32254000000,23264000000,153.96,10.13,3.42
135A,2026/02,-,-,-,-,63.95,31.26,20.28
1375,2025/03,53139000000,2419000000,-,1502000000,37.65,12.15,3.97
1376,2025/05,64508666000,1511650000,1666404000,1200256000,107.01,4.8,2.43
1377,2025/05,92920000000,12257000000,12311000000,9711000000,222.57,6.02,5.08
1379,2025/03,83104000000,6628000000,6953000000,4441000000,140.62,7.82,4.13
137A,2025/05,1301771000,279617000,281352000,209170000,71.39,23.58,19.77
1380,2025/03,7957457000,-3198000,51583000,28185000,6.76,1.29,0.4
1381,2025/06,26426000000,2121000000,2171000000,1720000000,306.28,7.96,6.86
1382,2025/06,2412711000,38066000,39466000,24712000,32.44,3.27,2.31
1383,2025/10,7303461000,-32624000,-28887000,48327000,30.22,2.28,0.8
1384,2025/03,19397000000,1925000000,2001000000,2181000000,257.83,15.41,11.35
138A,2025/11,2861834000,225861000,221672000,102461000,103.29,7.82,3.86
1401,2025/05,4713002000,626038000,672365000,472287000,64.96,12.78,9.68
1407,2025/08,47250000000,8646000000,7961000000,5357000000,135.07,14.79,3.61
1414,2025/06,90712000000,20794000000,21139000000,15061000000,73.01,14.33,11.66
1417,2025/03,578599000000,27985000000,27470000000,17179000000,189.4,6.57,3.19
1418,2026/02,-,-,-,-,53.57,17.71,8.93
1419,2025/05,200817000000,4113000000,3789000000,1478000000,50.99,4.32,1.6
141A,2025/06,803829000000,21106000000,22200000000,11752000000,96.23,9.32,3.91
1420,2025/03,45518339000,956034000,1167758000,673078000,60.21,4.39,1.33
1429,2025/12,33670846000,2774429000,2794127000,1895906000,59.43,16.3,7.35
142A,2025/03,2400260000,62545000,58884000,-184425000,-63.69,-,-
1430,2025/05,43194307000,2579579000,2478439000,1669537000,139.74,17.11,6.71
1431,2025/06,16004726000,833260000,854881000,494687000,21.19,10.49,4.29
1433,2026/01,11140386000,741091000,763546000,732617000,81.35,13.57,8.79
1434,2025/08,19067640000,1721775000,1692870000,1076152000,155.31,14.4,6.1
1435,2025/12,24068206000,1766011000,1787139000,1989528000,22.13,17.82,12.49
1436,2025/04,11616630000,543537000,408098000,275507000,67.23,5.2,2.03
1438,2025/09,6271357000,538282000,549108000,384527000,118.6,9.28,6.66
1439,2024/12,-,-,-,-,146.51,8.03,3.67
